id;customer;port;date_of_loading;date_of_shipment;status;transport
1;1;1;2021-05-25;2021-05-27;1;1
2;2;2;2021-05-25;2021-05-27;2;2
3;3;3;2021-05-25;2021-05-27;3;3
4;4;4;2021-05-25;2021-05-27;4;4
5;5;5;2021-05-25;2021-05-27;1;5
6;6;6;2021-05-25;2021-05-27;2;6
7;7;7;2021-05-25;2021-05-27;3;7
8;8;8;2021-05-25;2021-05-27;4;8
9;9;9;2021-05-25;2021-05-27;1;9
10;10;10;2021-05-25;2021-05-27;2;10
11;11;11;2021-05-25;2021-05-27;3;11
12;12;12;2021-05-25;2021-05-27;4;12
13;13;13;2021-05-25;2021-05-27;1;13
14;14;14;2021-05-25;2021-05-27;2;14
15;15;15;2021-05-25;2021-05-27;3;15
16;16;16;2021-05-25;2021-05-27;4;16
17;17;17;2021-05-25;2021-05-27;1;17
18;18;18;2021-05-25;2021-05-27;2;18
19;19;19;2021-05-25;2021-05-27;3;19
20;20;20;2021-05-25;2021-05-27;4;20
21;21;21;2021-05-25;2021-05-27;1;21
22;22;22;2021-05-25;2021-05-27;2;22
23;23;23;2021-05-25;2021-05-27;3;23
24;24;24;2021-05-25;2021-05-27;4;24
25;25;25;2021-05-25;2021-05-27;1;25
26;26;26;2021-05-25;2021-05-27;2;26
27;27;27;2021-05-25;2021-05-27;3;27
28;28;28;2021-05-25;2021-05-27;4;28
29;29;29;2021-05-25;2021-05-27;1;29
30;30;30;2021-05-25;2021-05-27;2;30
31;31;31;2021-05-25;2021-05-27;3;31
32;32;32;2021-05-25;2021-05-27;4;32
33;33;33;2021-05-25;2021-05-27;1;33
34;34;34;2021-05-25;2021-05-27;2;34
35;35;35;2021-05-25;2021-05-27;3;35
