id;jhi_order;length;width;height;volume;weight
1;1;37065;95291;3765;98919;14001
2;2;85811;22569;35696;77246;2037
3;3;57006;3403;74359;94787;23792
4;4;62527;22013;58401;57231;62118
5;5;11775;92597;70427;3490;84243
6;6;18949;42395;33484;61767;2168
7;7;42243;41956;44497;4252;23971
8;8;36308;29765;42990;38397;79648
9;9;10501;35414;12366;8575;44893
10;10;81465;39593;91558;66511;83531
11;11;12405;49606;21797;3393;99084
12;12;37088;80130;29770;37681;72556
13;13;60596;66816;73837;16885;59149
14;14;56773;17613;19194;40015;18426
15;15;32190;89813;76002;17111;96043
16;16;13922;83800;81716;99338;89511
17;17;2407;49449;45196;58992;5483
18;18;50108;26977;4999;21767;38173
19;19;43818;97868;61566;43237;98407
20;20;14779;11925;37140;93352;98676
21;21;68231;9607;5468;88889;15828
22;22;3289;70947;34724;61615;83817
23;23;58590;98362;42695;10786;43147
24;24;64010;6763;31568;16324;96533
25;25;67269;41431;89083;34699;85311
26;26;40635;45655;61666;19713;72014
27;27;6995;68510;17004;41032;49438
28;28;15342;83743;4329;2913;98963
29;29;95091;62555;22287;56051;45583
30;30;8547;85332;66447;40718;62914
31;31;21231;72477;61296;75659;14693
32;32;97056;6354;84657;62482;25882
33;33;35088;99680;81509;17158;83364
34;34;24079;80639;16073;26163;35325
35;35;11979;80622;93790;20341;11645

