id;loading_port_latitude;loading_port_longitude;shipment_port_latitude;shipment_port_longitude
1;52;65;83;91
2;25;65;98;38
3;75;87;64;82
4;74;12;43;54
5;76;43;87;93
6;32;45;78;96
7;49;28;95;69
8;64;62;87;94
9;82;84;72;15
10;62;46;19;28
11;82;61;73;47
12;84;46;91;72
13;27;84;53;65
14;29;37;15;53
15;17;64;73;76
16;85;62;64;16
17;72;87;45;18
18;98;74;23;52
19;94;65;72;45
20;28;37;47;56
21;82;46;67;45
22;72;84;65;35
23;92;47;74;62
24;64;56;25;86
25;82;84;26;45
26;92;37;57;26
27;72;73;82;53
28;64;35;25;34
29;87;56;34;86
30;92;36;46;34
31;26;57;46;78
32;94;87;64;52
33;72;56;46;12
34;32;45;12;75
35;25;76;72;45

