id;transport_name;max_weight;speed;deck_size
1;transportName1;33756;20720;70881
2;transportName2;30937;98726;57016
3;transportName3;94815;96622;76700
4;transportName4;5686;58617;7815
5;transportName5;61506;8858;79486
6;transportName6;80501;17213;79634
7;transportName7;893;57291;17088
8;transportName8;41598;40177;92725
9;transportName9;35426;50531;25206
10;transportName10;75652;59354;83939
11;transportName11;42384;84730;86672
12;transportName12;73443;76520;87263
13;transportName13;94815;96622;76700
14;transportName14;74674;84738;84749
15;transportName15;61506;8858;79486
16;transportName16;80501;17213;79634
17;transportName17;893;57291;17088
18;transportName18;41598;40177;92725
19;transportName19;35426;50531;25206
20;transportName20;75652;59354;83939
21;transportName21;33756;20720;70881
22;transportName22;30937;98726;57016
23;transportName23;94815;96622;76700
24;transportName24;5686;58617;7815
25;transportName25;61506;8858;79486
26;transportName26;80501;17213;79634
27;transportName27;893;57291;17088
28;transportName28;41598;40177;92725
29;transportName29;35426;50531;25206
30;transportName30;75652;59354;83939
31;transportName31;33756;20720;70881
32;transportName32;30937;98726;57016
33;transportName33;94815;96622;76700
34;transportName34;5686;58617;7815
35;transportName35;61506;8858;79486
